week_start,weekend_days,holiday_days,short_work_days,is_holiday_week,is_school_break_week,school_break_days,is_new_year_period,is_may_holiday_period,is_school_start_week,restriction_level,mask_mandate,remote_work
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0,0,3,0,1
2020-04-06,0,0,0,0,0,0,0,0,0,3,0,1
2020-04-13,0,0,0,0,0,0,0,0,0,3,0,1
2020-04-20,0,0,0,0,0,0,0,0,0,3,0,1
2020-04-27,0,0,0,0,0,0,0,1,0,3,0,1
2020-05-04,0,0,0,0,0,0,0,1,0,3,0,1
2020-05-11,0,0,0,0,0,0,0,0,0,3,0,1
2020-05-18,0,0,0,0,0,0,0,0,0,3,0,1
2020-05-25,0,0,0,0,0,0,0,0,0,3,0,1
2020-06-01,0,0,0,0,0,0,0,0,0,3,0,1
2020-06-08,0,0,0,0,0,0,0,0,0,3,0,1
2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-10,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-17,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,0,0,0,0,0,0,0,0,1,0,0,0
2020-09-07,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-14,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-21,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-05,0,0,0,0,0,0,0,0,0,1,1,0
2020-10-12,0,0,0,0,0,0,0,0,0,1,1,0
2020-10-19,0,0,0,0,0,0,0,0,0,1,1,0
2020-10-26,0,0,0,0,0,0,0,0,0,1,1,0
2020-11-02,0,0,0,0,0,0,0,0,0,1,1,0
2020-11-09,0,0,0,0,0,0,0,0,0,1,1,0
2020-11-16,0,0,0,0,0,0,0,0,0,1,1,0
2020-11-23,0,0,0,0,0,0,0,0,0,1,1,0
2020-11-30,0,0,0,0,0,0,0,0,0,1,1,0
2020-12-07,0,0,0,0,0,0,0,0,0,1,1,0
2020-12-14,0,0,0,0,0,0,0,0,0,1,1,0
2020-12-21,0,0,0,0,0,0,0,0,0,1,1,0
2020-12-28,0,0,0,0,0,0,1,0,0,1,1,0
2021-01-04,0,0,0,0,0,0,1,0,0,1,1,0
2021-01-11,0,0,0,0,0,0,0,0,0,1,1,0
2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-15,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-29,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-05,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-12,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-19,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-26,0,0,0,0,0,0,0,1,0,0,0,0
2021-05-03,0,0,0,0,0,0,0,1,0,0,0,0
2021-05-10,0,0,0,0,0,0,0,1,0,0,0,0
2021-05-17,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-24,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-31,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-07,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-21,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-28,0,0,0,0,0,0,0,0,0,1,1,0
2021-07-05,0,0,0,0,0,0,0,0,0,1,1,0
2021-07-12,0,0,0,0,0,0,0,0,0,1,1,0
2021-07-19,0,0,0,0,0,0,0,0,0,1,1,0
2021-07-26,0,0,0,0,0,0,0,0,0,1,1,0
2021-08-02,0,0,0,0,0,0,0,0,0,1,1,0
2021-08-09,0,0,0,0,0,0,0,0,0,1,1,0
2021-08-16,0,0,0,0,0,0,0,0,0,1,1,0
2021-08-23,0,0,0,0,0,0,0,0,0,1,1,0
2021-08-30,0,0,0,0,0,0,0,0,1,1,1,0
2021-09-06,0,0,0,0,0,0,0,0,0,1,1,0
2021-09-13,0,0,0,0,0,0,0,0,0,1,1,0
2021-09-20,0,0,0,0,0,0,0,0,0,1,1,0
2021-09-27,0,0,0,0,0,0,0,0,0,1,1,0
2021-10-04,0,0,0,0,0,0,0,0,0,1,1,0
2021-10-11,0,0,0,0,0,0,0,0,0,1,1,0
2021-10-18,0,0,0,0,0,0,0,0,0,1,1,0
2021-10-25,0,0,0,0,0,0,0,0,0,1,1,0
2021-11-01,0,0,0,0,0,0,0,0,0,1,1,0
2021-11-08,0,0,0,0,0,0,0,0,0,1,1,0
2021-11-15,0,0,0,0,0,0,0,0,0,1,1,0
2021-11-22,0,0,0,0,0,0,0,0,0,1,1,0
2021-11-29,0,0,0,0,0,0,0,0,0,1,1,0
2021-12-06,0,0,0,0,0,0,0,0,0,1,1,0
2021-12-13,0,0,0,0,0,0,0,0,0,1,1,0
2021-12-20,0,0,0,0,0,0,0,0,0,1,1,0
2021-12-27,2,0,0,0,0,0,1,0,0,1,1,0
2022-01-03,2,5,0,1,0,0,1,0,0,1,1,0
2022-01-10,2,0,0,0,0,0,0,0,0,1,1,0
2022-01-17,2,0,0,0,0,0,0,0,0,1,1,0
2022-01-24,2,0,0,0,0,0,0,0,0,1,1,0
2022-01-31,2,0,0,0,0,0,0,0,0,1,1,0
2022-02-07,2,0,0,0,0,0,0,0,0,1,1,0
2022-02-14,2,0,0,0,0,0,0,0,0,1,1,0
2022-02-21,2,2,1,1,0,0,0,0,0,1,1,0
2022-02-28,2,0,1,0,0,0,0,0,0,1,1,0
2022-03-07,2,2,0,1,0,0,0,0,0,1,1,0
2022-03-14,2,0,0,0,0,0,0,0,0,1,1,0
2022-03-21,2,0,0,0,0,0,0,0,0,0,0,0
2022-03-28,2,0,0,0,0,0,0,0,0,0,0,0
2022-04-04,2,0,0,0,0,0,0,0,0,0,0,0
2022-04-11,2,0,0,0,0,0,0,0,0,0,0,0
2022-04-18,2,0,0,0,0,0,0,0,0,0,0,0
2022-04-25,2,0,0,0,0,0,0,1,0,0,0,0
2022-05-02,2,2,0,1,0,0,0,1,0,0,0,0
2022-05-09,2,2,0,1,0,0,0,1,0,0,0,0
2022-05-16,2,0,0,0,0,0,0,0,0,0,0,0
2022-05-23,2,0,0,0,0,0,0,0,0,0,0,0
2022-05-30,2,0,0,0,0,0,0,0,0,0,0,0
2022-06-06,2,0,0,0,0,0,0,0,0,0,0,0
2022-06-13,2,1,0,1,0,0,0,0,0,0,0,0
2022-06-20,2,0,0,0,0,0,0,0,0,0,0,0
2022-06-27,2,0,0,0,0,0,0,0,0,0,0,0
2022-07-04,2,0,0,0,0,0,0,0,0,0,0,0
2022-07-11,2,0,0,0,0,0,0,0,0,0,0,0
2022-07-18,2,0,0,0,0,0,0,0,0,0,0,0
2022-07-25,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-08,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-15,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-22,2,0,0,0,0,0,0,0,0,0,0,0
2022-08-29,2,0,0,0,0,0,0,0,1,0,0,0
2022-09-05,2,0,0,0,0,0,0,0,0,0,0,0
2022-09-12,2,0,0,0,0,0,0,0,0,0,0,0
